;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_cores_SHO_desc;Мы владеем провинциями, на которые  Shona имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SHW_title;Вернуть провинции Shewa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SHW_desc;Мы владеем провинциями, на которые  Shewa имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SID_title;Вернуть провинции Sidama;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SID_desc;Мы владеем провинциями, на которые  Sidama имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SLE_title;Вернуть провинции Sierra Leone;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SLE_desc;Мы владеем провинциями, на которые  Sierra Leone имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SNG_title;Вернуть провинции Senegal;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SNG_desc;Мы владеем провинциями, на которые  Senegal имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SOM_title;Вернуть провинции Somalia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SOM_desc;Мы владеем провинциями, на которые  Somalia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SUA_title;Вернуть провинции Suazi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SUA_desc;Мы владеем провинциями, на которые  Suazi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SUD_title;Вернуть провинции Sudan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SUD_desc;Мы владеем провинциями, на которые  Sudan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TIG_title;Вернуть провинции Tigray;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TIG_desc;Мы владеем провинциями, на которые  Tigray имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TNZ_title;Вернуть провинции Tanzania;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TNZ_desc;Мы владеем провинциями, на которые  Tanzania имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TOG_title;Вернуть провинции Togo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TOG_desc;Мы владеем провинциями, на которые  Togo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TOO_title;Вернуть провинции Tooro;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TOO_desc;Мы владеем провинциями, на которые  Tooro имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TOU_title;Вернуть провинции Tukulor;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TOU_desc;Мы владеем провинциями, на которые  Tukulor имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TRZ_title;Вернуть провинции Trarza;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TRZ_desc;Мы владеем провинциями, на которые  Trarza имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TSW_title;Вернуть провинции Botswana;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TSW_desc;Мы владеем провинциями, на которые  Botswana имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WAD_title;Вернуть провинции Wadai;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WAD_desc;Мы владеем провинциями, на которые  Wadai имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WRI_title;Вернуть провинции Warri;;;;;;;;;;;;;;;;;;;;x,,
